Variant,Scenario,RMSE (V),Overshoot (%),Final-window error (V)
Full TD3,load,1.828544450299457,2.410110432356589,2.572790493938747
Full TD3,input,3.5337006047117696,4.167403273434886,1.1803054241337876
Full TD3,param,1.179089229709826,2.0207061457327455,1.165448413344031
w/o $V_{in}$,load,0.9274422382933416,1.4729286055491144,0.8911952180659085
w/o $V_{in}$,input,2.685241430274727,2.470549954988684,1.957497897705418
w/o $V_{in}$,param,1.9742551131549908,2.6151113092176814,1.966853621856342
w/o $R^{obs}$,load,3.181379040552644,2.965278679804385,3.095435447294828
w/o $R^{obs}$,input,3.0799375194099583,3.017302368686913,1.9206624984768859
w/o $R^{obs}$,param,1.9364567710720506,2.113080498254604,1.9294721219251727
w/o both disturbance signals,load,3.3202489213566606,2.594498412737096,2.378928415693993
w/o both disturbance signals,input,1.969294078865788,1.8358835180939792,0.4970841922441337
w/o both disturbance signals,param,0.4721405249350435,1.6216841422179586,0.43850909795028187
