algorithm,seed,scenario,rmse,overshoot,recovery_ms,final_window_error,bound_hit,max_iL
TD3,0,load,1.828544450299457,2.410110432356589,0.0,2.572790493938747,False,19.505489982155748
TD3,0,input,3.5337006047117696,4.167403273434886,0.0,1.1803054241337876,False,14.234368737148202
TD3,0,param,1.179089229709826,2.0207061457327455,0.5,1.165448413344031,False,24.828497716601962
TD3,1,load,1.6976089529062712,0.72666873273036,0.0,1.3172699173460471,False,18.012701961305194
TD3,1,input,2.18544954711363,1.9681699217428985,0.0,0.8332449607316134,False,10.889992229637894
TD3,1,param,0.8636555005512463,0.45556241606630016,1.0,0.847755883302257,False,22.00546268084921
TD3,2,load,2.678348286265776,1.0124837642960642,0.0,2.38025794820296,False,19.863481768134353
TD3,2,input,3.0243476687441566,3.6392057061582364,0.0,0.9791574216861243,False,14.260103550390106
TD3,2,param,0.932059781488589,1.3126288398774477,0.5,0.8874063197128429,False,25.128947737489984
TD3,3,load,1.7261794259714607,2.111417472932075,0.0,2.435016837508023,False,19.490172393003647
TD3,3,input,3.965732795909992,4.583266930560896,0.0,2.7728544897447573,False,13.414501561622085
TD3,3,param,2.7788375396484946,2.000782330179959,0.5,2.774474000503219,False,26.389194431517275
TD3,4,load,2.918319231022104,1.3871356143107505,0.0,1.8410235124095673,False,19.397729959309054
TD3,4,input,3.86528893375808,3.3916740934882625,0.0,2.772538825976986,False,12.78596304117702
TD3,4,param,2.777323691440145,1.3871369623809642,0.5,2.774270515821289,False,27.074991580540587
TD3,5,load,7.946588030273198,0.0,0.0,6.5792952795687105,False,16.79571374697183
TD3,5,input,7.354294644299018,0.0,0.49999999999994493,6.625730352643846,False,12.412036652530066
TD3,5,param,6.623293585954893,0.0,1.0,6.622042629625592,False,13.161629923511569
DDPG,0,load,2.1571456308174577,2.5215248398698975,0.0,3.0310621302779253,False,18.418122319159135
DDPG,0,input,4.500867325223254,3.997928989086219,0.0,3.1379001493198526,False,13.72800134925354
DDPG,0,param,3.1429436940916546,2.2642159180608985,0.5,3.1396704377647495,False,27.89188230976618
DDPG,1,load,2.565626512378116,0.6600178614338432,0.0,2.4785128500955214,False,17.985167112960433
DDPG,1,input,2.3016804261983763,1.9256068409772948,0.0,0.7887150887099909,False,11.362685003215033
DDPG,1,param,0.8018421476913673,0.8494776792333171,1.0,0.7818176949706981,False,19.743742422772154
DDPG,2,load,1.6513938600661733,1.5663798858995364,0.0,0.1335716660441123,False,21.376659707286446
DDPG,2,input,4.001496170464918,4.473987504833673,0.0,2.089217899820939,False,15.665482193695546
DDPG,2,param,2.2160137774182362,1.6615690421966745,1.0,2.0087182504684553,False,22.39738819262326
DDPG,3,load,0.9594016753369613,2.2173364649658254,0.0,0.9727727302243198,False,21.6119127615508
DDPG,3,input,2.674244494046292,1.9678999066594114,0.0,0.7052091848612643,False,11.781288094100239
DDPG,3,param,0.6690630972571164,0.8007067428418254,1.0,0.6470317914221363,False,20.994492000625982
DDPG,4,load,1.6934960776030503,2.267454028677676,0.0,2.1758369918112126,False,18.43147584213459
DDPG,4,input,5.206712078865039,4.707468160238278,0.0,3.1753578964425584,False,12.63004055700984
DDPG,4,param,3.1802168519514318,1.5889479038466163,1.0,3.1778941125265727,False,20.111353913088493
DDPG,5,load,8.252247177866135,0.0,0.0,6.4355011881967865,False,15.831422380467545
DDPG,5,input,5.393067294137235,0.4611482449270881,0.0,4.460511615878622,False,12.94122504203966
DDPG,5,param,4.462743145321278,0.0,1.0,4.458820624625274,False,15.995046752519022
