time_s,output_voltage_V,inductor_current_A,duty_cycle,tracking_error_V,Vin_V,R_ohm,L_H,C_F
0.0005,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.001,200.0,8.125333233564305,0.5,0.0,100.25066646712861,50.0,0.001,0.00047
0.0015,200.06666661359804,8.374023120729163,0.5,-0.06666661359804493,100.49737977432972,50.0,0.001,0.00047
0.002,200.27666858288453,8.585434464866061,0.498600001114441,-0.27666858288452545,100.73624910536935,50.0,0.001,0.00047
0.0025,200.64590466026192,8.299385277714421,0.49302329402145917,-0.6459046602619196,100.96350734820344,50.0,0.001,0.00047
0.003,200.96421650457737,6.76213704405022,0.4804276361960547,-0.9642165045773652,101.17557050458494,50.0,0.001,0.00047
0.0035,200.5554630044416,3.4314975112858903,0.4624397559108468,-0.5554630044416058,101.36909421185737,50.0,0.001,0.00047
0.004,198.2809676587591,0.0,0.45414979058359384,1.7190323412409043,101.54102648555158,50.0,0.001,0.00047
0.0045000000000000005,194.06222366601955,0.5001547727336373,0.4921935902651985,5.937776333980452,101.68865585100403,50.0,0.001,0.00047
0.005,190.14028814826196,13.647292454525648,0.6108702800844448,9.85971185173804,101.80965410493204,50.0,0.001,0.00047
0.0055,189.03992275327198,45.31261080624972,0.797142011802012,10.96007724672802,101.90211303259031,50.0,0.001,0.00047
0.006,189.83828724854808,80.0,0.9,10.161712751451915,101.96457450145738,50.0,0.001,0.00047
0.006500000000000001,194.30981305177048,80.0,0.9,5.690186948229524,101.99605345685654,50.0,0.001,0.00047
0.007,198.68620000811578,80.0,0.9,1.313799991884224,101.99605345685654,50.0,0.001,0.00047
0.0075,202.96947234836864,80.0,0.9,-2.9694723483686403,101.96457450145738,50.0,0.001,0.00047
0.008,207.16161123457357,80.0,0.9,-7.16161123457357,101.90211303259031,50.0,0.001,0.00047
0.0085,211.26455567639115,80.0,0.9,-11.264555676391154,101.80965410493204,50.0,0.001,0.00047
0.009000000000000001,220.30280046324535,80.0,0.8409844848353654,-20.302800463245347,101.68865585100403,50.0,0.001,0.00047
0.0095,262.07919875342463,70.63353472878995,0.4540516199745822,-62.079198753424635,101.54102648555158,50.0,0.001,0.00047
0.01,320.0,0.0,0.05,-120.0,101.36909421185737,50.0,0.001,0.00047
0.0105,313.1914893617021,0.0,0.05,-113.19148936170211,101.17557050458494,50.0,0.001,0.00047
0.011,306.52784065187865,0.0,0.05,-106.52784065187865,100.96350734820344,50.0,0.001,0.00047
0.0115,300.0059717018387,0.0,0.05,-100.00597170183869,100.73624910536935,50.0,0.001,0.00047
0.012,293.6228659209485,0.0,0.05,-93.62286592094853,100.49737977432972,50.0,0.001,0.00047
0.0125,287.37557090135385,0.0,0.05,-87.37557090135385,100.25066646712861,50.0,0.001,0.00047
0.013000000000000001,281.26119705238887,0.0,0.05,-81.26119705238887,100.0,50.0,0.001,0.00047
0.0135,275.27691626404015,0.0,0.05,-75.27691626404015,99.74933353287139,50.0,0.001,0.00047
0.014,269.4199605988478,0.0,0.05,-69.41996059884781,99.50262022567028,50.0,0.001,0.00047
