time_s,output_voltage_V,inductor_current_A,duty_cycle,tracking_error_V,Vin_V,R_ohm,L_H,C_F
0.0005,200.0,8.0,0.5,0.0,100.0,50.0,0.001,0.00047
0.001,200.0,8.125333233564305,0.5,0.0,100.25066646712861,50.0,0.001,0.00047
0.0015,200.06666661359804,8.374023120729163,0.5,-0.06666661359804493,100.49737977432972,50.0,0.001,0.00047
0.002,200.26750465723035,8.688335559737304,0.4996286691740732,-0.2675046572303472,100.73624910536935,50.0,0.001,0.00047
0.0025,200.64024124067157,8.970044221324002,0.4986700903031137,-0.6402412406715712,100.96350734820344,50.0,0.001,0.00047
0.003,201.17049542291426,9.104508776937521,0.49707675404796503,-1.1704954229142572,101.17557050458494,50.0,0.001,0.00047
0.0035,201.78132123669755,8.995613264731823,0.49502095213959724,-1.7813212366975506,101.36909421185737,50.0,0.001,0.00047
0.004,202.34096701618427,8.604270954527806,0.4928980022589414,-2.3409670161842655,101.54102648555158,50.0,0.001,0.00047
0.0045000000000000005,202.69263317952357,7.978554142635353,0.49125433671296403,-2.6926331795235683,101.68865585100403,50.0,0.001,0.00047
0.005,202.70337826994208,7.261663161404186,0.4906404122938581,-2.7033782699420783,101.80965410493204,50.0,0.001,0.00047
0.0055,202.31942771393878,6.667034873921878,0.49141760493864517,-2.3194277139387793,101.90211303259031,50.0,0.001,0.00047
0.006,201.606638482506,6.419308579889261,0.49357296900625997,-1.606638482506014,101.96457450145738,50.0,0.001,0.00047
0.006500000000000001,200.75475797821443,6.674747806153405,0.496617890322424,-0.7547579782144282,101.99605345685654,50.0,0.001,0.00047
0.007,200.03624962780015,7.449144766386276,0.49965191087878896,-0.036249627800145845,101.99605345685654,50.0,0.001,0.00047
0.0075,199.72971883188237,8.583307700072226,0.5016090892546401,0.27028116811763425,101.96457450145738,50.0,0.001,0.00047
0.008,200.03120013368775,9.760947565455147,0.5015922823903057,-0.03120013368774721,101.90211303259031,50.0,0.001,0.00047
0.0085,200.97575048472967,10.575720252377124,0.4991775849760725,-0.975750484729673,101.80965410493204,50.0,0.001,0.00047
0.009000000000000001,202.38528466992153,10.638149674218141,0.4946465095298206,-2.385284669921532,101.68865585100403,50.0,0.001,0.00047
0.0095,203.86113757853497,9.70956302265229,0.4891021846903561,-3.861137578534965,101.54102648555158,50.0,0.001,0.00047
0.01,204.85010256165717,7.832419102396145,0.484338293698218,-4.850102561657167,101.36909421185737,50.0,0.001,0.00047
0.0105,204.80444294584444,5.404711620577089,0.48239720584807066,-4.804442945844443,101.17557050458494,50.0,0.001,0.00047
0.011,203.4082869773651,3.1440963799296213,0.4849489771206222,-3.408286977365094,100.96350734820344,50.0,0.001,0.00047
0.0115,200.77776303146737,1.902404072949608,0.4925495157883343,-0.7777630314673729,100.73624910536935,50.0,0.001,0.00047
0.012,197.51004651752802,2.341886211672346,0.5038374071272459,2.489953482471975,100.49737977432972,50.0,0.001,0.00047
0.0125,194.51464183993704,4.6256116393045374,0.5155526653001278,5.485358160062958,100.25066646712861,50.0,0.001,0.00047
0.013000000000000001,192.71797145686995,8.338874134029759,0.5240796572695706,7.282028543130053,100.0,50.0,0.001,0.00047
