time_s,output_voltage_V,inductor_current_A,duty_cycle,tracking_error_V,Vin_V,R_ohm,L_H,C_F
0.0005,199.95972247833902,8.473260879516602,0.504732608795166,0.04027752166098253,100.0,50.0,0.001,0.00047
0.001,200.19087637894486,8.721104898074607,0.5023782253265381,-0.1908763789448642,100.0,50.0,0.001,0.00047
0.0015,200.58954742805327,8.466610871384795,0.4979342222213745,-0.5895474280532653,100.0,50.0,0.001,0.00047
0.002,200.84384148830614,8.111660683356085,0.49793046712875366,-0.8438414883061398,100.0,50.0,0.001,0.00047
0.0025,200.88240564201445,7.934165873079586,0.5003332495689392,-0.8824056420144473,100.0,50.0,0.001,0.00047
0.003,200.80864992963748,7.951119187265547,0.5023651123046875,-0.8086499296374825,100.0,50.0,0.001,0.00047
0.0035,200.74082435103026,8.041194940132044,0.5029106140136719,-0.7408243510302555,100.0,50.0,0.001,0.00047
0.004,200.7259716306876,8.102415771353272,0.5024551749229431,-0.7259716306876101,100.0,50.0,0.001,0.00047
0.0045000000000000005,200.7494691618053,8.101779696552526,0.5018020272254944,-0.7494691618053082,100.0,50.0,0.001,0.00047
0.005,200.77406535180197,8.072747218663878,0.5015774369239807,-0.7740653518019656,100.0,50.0,0.001,0.00047
0.0055,200.7815084375224,8.052029342427616,0.5017213225364685,-0.7815084375224046,100.0,50.0,0.001,0.00047
0.006,200.7760484542376,8.050113023838932,0.5019270777702332,-0.7760484542376105,100.0,50.0,0.001,0.00047
0.006500000000000001,200.76897972385657,8.057873633773262,0.502009928226471,-0.7689797238565745,100.0,50.0,0.001,0.00047
0.007,200.76644920242035,8.064157312896675,0.5019776821136475,-0.7664492024203469,100.0,50.0,0.001,0.00047
0.0075,200.7678089350403,8.065135680103445,0.5019185543060303,-0.767808935040307,100.0,50.0,0.001,0.00047
0.008,200.7698923713337,8.0630350456048,0.5018912553787231,-0.7698923713336967,100.0,50.0,0.001,0.00047
0.0085,200.77075801691328,8.06112156445672,0.5018982887268066,-0.7707580169132768,100.0,50.0,0.001,0.00047
0.009000000000000001,200.7704451108885,8.060703755905308,0.5019153356552124,-0.7704451108884882,100.0,50.0,0.001,0.00047
0.0095,200.76984080675817,8.061261388029727,0.5019242763519287,-0.7698408067581681,100.0,50.0,0.001,0.00047
0.01,200.76955658810104,8.061831896389663,0.5019229054450989,-0.7695565881010396,100.0,50.0,0.001,0.00047
0.0105,200.76962211822286,8.06198853082794,0.5019180774688721,-0.7696221182228555,100.0,50.0,0.001,0.00047
0.011,200.76979327726164,8.0618476257345,0.5019152760505676,-0.7697932772616412,100.0,50.0,0.001,0.00047
0.0115,200.76988459861317,8.061682045008084,0.501915454864502,-0.7698845986131744,100.0,50.0,0.001,0.00047
0.012,200.76987499344438,8.061625356398928,0.501916766166687,-0.7698749934443754,100.0,50.0,0.001,0.00047
0.0125,200.76982839818322,8.061654827596108,0.5019176006317139,-0.7698283981832219,100.0,50.0,0.001,0.00047
0.013000000000000001,200.76979738799193,8.061707869747323,0.5019177198410034,-0.7697973879919289,100.0,50.0,0.001,0.00047
0.0135,200.76979872159436,8.061726750868345,0.50191730260849,-0.7697987215943556,100.0,50.0,0.001,0.00047
0.014,200.7698125873983,8.061715382835885,0.5019170045852661,-0.7698125873982917,100.0,50.0,0.001,0.00047
0.0145,200.76982013454295,8.061700561642844,0.5019170045852661,-0.7698201345429538,100.0,50.0,0.001,0.00047
0.015,200.76981813416472,8.061701811118304,0.5019171833992004,-0.7698181341647228,100.0,50.0,0.001,0.00047
0.0155,200.76981683841396,8.06170355877078,0.5019171833992004,-0.7698168384139592,100.0,50.0,0.001,0.00047
0.016,200.7698164962703,8.061705629118848,0.5019171833992004,-0.7698164962702947,100.0,50.0,0.001,0.00047
0.0165,200.76981725843268,8.061707784674859,0.5019171833992004,-0.7698172584326812,100.0,50.0,0.001,0.00047
0.017,200.7698196577412,8.061703767014052,0.5019171237945557,-0.7698196577412091,100.0,50.0,0.001,0.00047
0.0175,200.769819877141,8.061699151826005,0.5019171237945557,-0.7698198771410034,100.0,50.0,0.001,0.00047
0.018000000000000002,200.76981713521224,8.06170046540521,0.5019171833992004,-0.7698171352122358,100.0,50.0,0.001,0.00047
0.0185,200.7698151476556,8.061702461838216,0.5019171833992004,-0.7698151476556063,100.0,50.0,0.001,0.00047
0.019,200.769814260248,8.06170495325513,0.5019171833992004,-0.7698142602480118,100.0,50.0,0.001,0.00047
0.0195,200.7698147118618,8.061707665673282,0.5019171833992004,-0.7698147118618124,100.0,50.0,0.001,0.00047
0.02,200.7698165911103,8.061710265620896,0.5019171833992004,-0.769816591110299,100.0,50.0,0.001,0.00047
0.0205,200.76982031920946,8.061706414151018,0.5019171237945557,-0.7698203192094581,100.0,50.0,0.001,0.00047
0.021,200.76982192718822,8.061701634229962,0.5019171237945557,-0.7698219271882181,100.0,50.0,0.001,0.00047
0.021500000000000002,200.76982045700606,8.061702437262525,0.5019171833992004,-0.7698204570060625,100.0,50.0,0.001,0.00047
0.022,200.7698194436115,8.061703606431323,0.5019171833992004,-0.7698194436115102,100.0,50.0,0.001,0.00047
0.0225,200.76981907129226,8.061705027977325,0.5019171833992004,-0.769819071292261,100.0,50.0,0.001,0.00047
0.023,200.7698199713231,8.061700558839362,0.5019171237945557,-0.769819971323102,100.0,50.0,0.001,0.00047
0.0235,200.76981797293215,8.061701848963331,0.5019171833992004,-0.7698179729321453,100.0,50.0,0.001,0.00047
0.024,200.769816700665,8.061703636769394,0.5019171833992004,-0.7698167006649896,100.0,50.0,0.001,0.00047
0.0245,200.76981640278171,8.061705741422664,0.5019171833992004,-0.7698164027817143,100.0,50.0,0.001,0.00047
0.025,200.76981722644024,8.061707920261199,0.5019171833992004,-0.7698172264402388,100.0,50.0,0.001,0.00047
0.025500000000000002,200.76981969827332,8.061703910567836,0.5019171237945557,-0.7698196982733236,100.0,50.0,0.001,0.00047
0.026000000000000002,200.76981999287634,8.061699285285613,0.5019171237945557,-0.7698199928763358,100.0,50.0,0.001,0.00047
0.0265,200.76981731920208,8.061700570041928,0.5019171833992004,-0.7698173192020761,100.0,50.0,0.001,0.00047
0.027,200.76981538317517,8.061702520653846,0.5019171833992004,-0.7698153831751711,100.0,50.0,0.001,0.00047
0.0275,200.7698145219215,8.06170495341663,0.5019171833992004,-0.7698145219214894,100.0,50.0,0.001,0.00047
