time_s,output_voltage_V,inductor_current_A,duty_cycle,tracking_error_V,Vin_V,R_ohm,L_H,C_F
0.0005,185.984,34.208,0.752,14.015999999999991,100.0,50.0,0.001,0.00047
0.001,190.79520462978724,61.802135551999996,0.759056,9.204795370212764,100.0,50.0,0.001,0.00047
0.0015,203.68419311732998,80.0,0.7422167837957446,-3.6841931173299827,100.0,50.0,0.001,0.00047
0.002,230.61585330325315,80.0,0.6326319445360703,-30.615853303253147,100.0,50.0,0.001,0.00047
0.0025,264.99669609379333,76.77053256577716,0.5383711338853393,-64.99669609379333,100.0,50.0,0.001,0.00047
0.003,306.8877435579397,49.66155333509937,0.4180381841184486,-106.8877435579397,100.0,50.0,0.001,0.00047
0.0035,320.0,0.0,0.2714195179939364,-120.0,100.0,50.0,0.001,0.00047
0.004,313.1914893617021,0.0,0.2255266204467253,-113.19148936170211,100.0,50.0,0.001,0.00047
0.0045000000000000005,306.52784065187865,0.0,0.24935640768076792,-106.52784065187865,100.0,50.0,0.001,0.00047
0.005,300.0059717018387,0.0,0.27267917816514997,-100.00597170183869,100.0,50.0,0.001,0.00047
0.0055,293.6228659209485,0.0,0.2955057194902899,-93.62286592094853,100.0,50.0,0.001,0.00047
0.006,287.37557090135385,0.0,0.3178465897234054,-87.37557090135385,100.0,50.0,0.001,0.00047
0.006500000000000001,281.26119705238887,0.0,0.3397121222919868,-81.26119705238887,100.0,50.0,0.001,0.00047
0.007,275.27691626404015,0.0,0.3611124307633643,-75.27691626404015,100.0,50.0,0.001,0.00047
0.0075,269.4199605988478,0.0,0.3820574135225847,-69.41996059884781,100.0,50.0,0.001,0.00047
0.008,263.68762101163827,0.0,0.402556758350758,-63.68762101163827,100.0,50.0,0.001,0.00047
0.0085,258.07724609649705,0.0,0.42261994690599136,-58.07724609649705,100.0,50.0,0.001,0.00047
0.009000000000000001,252.58624086040138,0.0,0.4422562591089856,-52.586240860401375,100.0,50.0,0.001,0.00047
0.0095,247.21206552294603,0.0,0.4614747774353205,-47.212065522946034,100.0,50.0,0.001,0.00047
0.01,241.95223434160675,0.0,0.4802843911164142,-41.952234341606754,100.0,50.0,0.001,0.00047
0.0105,236.8043144619981,0.0,0.49869380025110166,-36.8043144619981,100.0,50.0,0.001,0.00047
0.011,231.7659247925939,0.0,0.516711519829732,-31.765924792593893,100.0,50.0,0.001,0.00047
0.0115,226.83473490338977,0.0,0.5343458836726467,-26.834734903389773,100.0,50.0,0.001,0.00047
0.012,222.0084639479985,0.0,0.08199718747554008,-22.008463947998507,100.0,50.0,0.001,0.00047
0.0125,217.28487960867938,0.0,0.0988891358194095,-17.284879608679375,100.0,50.0,0.001,0.00047
0.013000000000000001,212.66179706381385,0.0,0.11542168100702649,-12.66179706381385,100.0,50.0,0.001,0.00047
0.0135,208.13707797734972,0.0,0.13160246991405583,-8.137077977349719,100.0,50.0,0.001,0.00047
0.014,203.70862950974654,0.0,0.14743898671668026,-3.708629509746544,100.0,50.0,0.001,0.00047
0.0145,199.3744033499647,0.0,0.09803753993272679,0.6255966500353054,100.0,50.0,0.001,0.00047
0.015,195.13239476805055,0.0,0.12415527286758121,4.8676052319494545,100.0,50.0,0.001,0.00047
0.0155,190.98064168787926,0.0,0.2241853944633962,9.019358312120744,100.0,50.0,0.001,0.00047
0.016,186.9172237796265,0.0,0.3965553007061087,13.08277622037349,100.0,50.0,0.001,0.00047
0.0165,182.94026157154934,16.329277783414803,0.6397258472415294,17.059738428450657,100.0,50.0,0.001,0.00047
0.017,185.06464270446645,34.64816029842349,0.6536452149697995,14.93535729553355,100.0,50.0,0.001,0.00047
0.0175,194.16771068410685,51.91113931629535,0.6462098810045896,5.832289315893149,100.0,50.0,0.001,0.00047
0.018000000000000002,205.69739945152864,74.37953712463259,0.7164142061039782,-5.697399451528639,100.0,50.0,0.001,0.00047
0.0185,234.84262406790978,80.0,0.5763558050162508,-34.84262406790978,100.0,50.0,0.001,0.00047
0.019,274.582353865706,68.27719599051028,0.4743475188589168,-74.58235386570601,100.0,50.0,0.001,0.00047
0.0195,317.0238868662409,27.014048234711098,0.33525846456663,-117.0238868662409,100.0,50.0,0.001,0.00047
0.02,320.0,0.0,0.1867130990647579,-120.0,100.0,50.0,0.001,0.00047
0.0205,313.1914893617021,0.0,0.1762967030966011,-113.19148936170211,100.0,50.0,0.001,0.00047
0.021,306.52784065187865,0.0,0.2001264903306437,-106.52784065187865,100.0,50.0,0.001,0.00047
0.021500000000000002,300.0059717018387,0.0,0.22344926081502578,-100.00597170183869,100.0,50.0,0.001,0.00047
0.022,293.6228659209485,0.0,0.24627580214016567,-93.62286592094853,100.0,50.0,0.001,0.00047
0.0225,287.37557090135385,0.0,0.26861667237328124,-87.37557090135385,100.0,50.0,0.001,0.00047
0.023,281.26119705238887,0.0,0.2904822049418626,-81.26119705238887,100.0,50.0,0.001,0.00047
0.0235,275.27691626404015,0.0,0.31188251341324,-75.27691626404015,100.0,50.0,0.001,0.00047
0.024,269.4199605988478,0.0,0.33282749617246055,-69.41996059884781,100.0,50.0,0.001,0.00047
0.0245,263.68762101163827,0.0,0.3533268410006337,-63.68762101163827,100.0,50.0,0.001,0.00047
0.025,258.07724609649705,0.0,0.3733900295558671,-58.07724609649705,100.0,50.0,0.001,0.00047
0.025500000000000002,252.58624086040138,0.0,0.3930263417588614,-52.586240860401375,100.0,50.0,0.001,0.00047
0.026000000000000002,247.21206552294603,0.0,0.41224486008519623,-47.212065522946034,100.0,50.0,0.001,0.00047
