time_s,output_voltage_V,inductor_current_A,duty_cycle,tracking_error_V,Vin_V,R_ohm,L_H,C_F
0.0005,187.70379877090454,14.000364441871643,0.5370251536369324,12.296201229095459,100.0,50.0,0.001,0.00047
0.001,191.34470389841852,15.892283146975448,0.4874042868614197,8.655296101581484,100.0,50.0,0.001,0.00047
0.0015,196.44525928222697,13.990919982306362,0.45750927925109863,3.5547407177730292,100.0,50.0,0.001,0.00047
0.002,200.2949919609473,11.002952430905392,0.46053197979927063,-0.29499196094729996,100.0,50.0,0.001,0.00047
0.0025,202.2300437026942,7.9859105917773086,0.4706104099750519,-2.2300437026941893,100.0,50.0,0.001,0.00047
0.003,202.2662272425654,6.343824385123941,0.4892738461494446,-2.2662272425654066,100.0,50.0,0.001,0.00047
0.0035,201.34828994074505,5.609059156051007,0.4983367621898651,-1.3482899407450475,100.0,50.0,0.001,0.00047
0.004,200.0095932107701,5.917032183048359,0.5064072608947754,-0.009593210770105998,100.0,50.0,0.001,0.00047
0.0045000000000000005,198.80792383362615,7.400136324933907,0.5148543119430542,1.1920761663738517,100.0,50.0,0.001,0.00047
0.005,198.41187912488135,8.990271735463704,0.512998640537262,1.5881208751186477,100.0,50.0,0.001,0.00047
0.0055,198.92626295039463,9.865964302134696,0.5048249363899231,1.07373704960537,100.0,50.0,0.001,0.00047
0.006,200.0022976050809,9.559598348856081,0.4942209720611572,-0.002297605080912035,100.0,50.0,0.001,0.00047
0.006500000000000001,200.94236888532112,8.47200155321963,0.489129900932312,-0.9423688853211161,100.0,50.0,0.001,0.00047
0.007,201.21454952814668,7.777500813633072,0.49543243646621704,-1.2145495281466765,100.0,50.0,0.001,0.00047
0.0075,201.06954024324406,7.483799898664838,0.5000987648963928,-1.069540243244063,100.0,50.0,0.001,0.00047
0.008,200.74850238967906,7.515780122638613,0.502977728843689,-0.7485023896790608,100.0,50.0,0.001,0.00047
0.0085,200.43321884341196,7.8533316278612055,0.5052272081375122,-0.43321884341196437,100.0,50.0,0.001,0.00047
0.009000000000000001,200.30641237966307,8.219731060457459,0.5047367811203003,-0.30641237966307244,100.0,50.0,0.001,0.00047
0.0095,200.39141918354068,8.43349509810287,0.5028992295265198,-0.39141918354067684,100.0,50.0,0.001,0.00047
0.01,200.6128794944912,8.34450891478988,0.5000885128974915,-0.6128794944912102,100.0,50.0,0.001,0.00047
0.0105,200.78847879468788,8.130386710978012,0.4993928372859955,-0.788478794687876,100.0,50.0,0.001,0.00047
0.011,200.83525022653808,8.000670371276431,0.50067138671875,-0.8352502265380792,100.0,50.0,0.001,0.00047
0.0115,200.80060352029037,7.995162431583271,0.5020245909690857,-0.8006035202903661,100.0,50.0,0.001,0.00047
0.012,200.75998143926674,8.04307376329609,0.5024707317352295,-0.7599814392667383,100.0,50.0,0.001,0.00047
0.0125,200.7473884039419,8.079904226558273,0.5022596716880798,-0.7473884039418976,100.0,50.0,0.001,0.00047
0.013000000000000001,200.7576825185053,8.083469740238197,0.5018970370292664,-0.7576825185053053,100.0,50.0,0.001,0.00047
0.0135,200.77095246995526,8.069232673371683,0.5017452239990234,-0.7709524699552617,100.0,50.0,0.001,0.00047
0.014,200.77590036327362,8.057457734949683,0.5018026828765869,-0.775900363273621,100.0,50.0,0.001,0.00047
0.0145,200.77356680962652,8.055406232769347,0.5019118189811707,-0.7735668096265158,100.0,50.0,0.001,0.00047
0.015,200.76974993703172,8.05915950004194,0.5019638538360596,-0.7697499370317189,100.0,50.0,0.001,0.00047
0.0155,200.76810147969684,8.062708440444322,0.5019523501396179,-0.7681014796968384,100.0,50.0,0.001,0.00047
0.016,200.7686353315716,8.063544574329658,0.5019212365150452,-0.7686353315716019,100.0,50.0,0.001,0.00047
0.0165,200.76974556673056,8.062554463912637,0.5019043684005737,-0.7697455667305633,100.0,50.0,0.001,0.00047
0.017,200.77029014911258,8.061491287613475,0.5019063949584961,-0.7702901491125829,100.0,50.0,0.001,0.00047
0.0175,200.77018463914888,8.06117204768756,0.5019151568412781,-0.77018463914888,100.0,50.0,0.001,0.00047
0.018000000000000002,200.76986570115417,8.061423575235434,0.5019205808639526,-0.7698657011541741,100.0,50.0,0.001,0.00047
0.0185,200.7696878487461,8.061742564192354,0.5019204616546631,-0.7696878487460879,100.0,50.0,0.001,0.00047
0.019,200.7697042736223,8.061854542547483,0.5019179582595825,-0.7697042736222954,100.0,50.0,0.001,0.00047
0.0195,200.76979450818524,8.061788911734556,0.501916229724884,-0.7697945081852424,100.0,50.0,0.001,0.00047
0.02,200.76984855783974,8.061694825329827,0.5019161701202393,-0.7698485578397367,100.0,50.0,0.001,0.00047
0.0205,200.76984546910768,8.061659079188669,0.5019168853759766,-0.769845469107679,100.0,50.0,0.001,0.00047
0.021,200.76981890443346,8.061677952939096,0.5019174218177795,-0.769818904433464,100.0,50.0,0.001,0.00047
0.021500000000000002,200.76980239451063,8.061709425797101,0.5019174814224243,-0.7698023945106343,100.0,50.0,0.001,0.00047
0.022,200.76980546847662,8.061715093275193,0.5019171833992004,-0.7698054684766191,100.0,50.0,0.001,0.00047
0.0225,200.7698119912828,8.061714011802,0.5019171237945557,-0.7698119912828076,100.0,50.0,0.001,0.00047
0.023,200.76981831344665,8.061705322473113,0.5019170641899109,-0.769818313446649,100.0,50.0,0.001,0.00047
0.0235,200.76981938564793,8.061701042070116,0.5019171237945557,-0.769819385647935,100.0,50.0,0.001,0.00047
0.024,200.7698176557702,8.061702478051448,0.5019171833992004,-0.769817655770197,100.0,50.0,0.001,0.00047
0.0245,200.76981672358946,8.061704344843971,0.5019171833992004,-0.7698167235894573,100.0,50.0,0.001,0.00047
0.025,200.76981680040967,8.061706443788093,0.5019171833992004,-0.7698168004096715,100.0,50.0,0.001,0.00047
0.025500000000000002,200.76981798777413,8.061708523600803,0.5019171833992004,-0.7698179877741325,100.0,50.0,0.001,0.00047
0.026000000000000002,200.76982076310344,8.061704324303758,0.5019171237945557,-0.7698207631034393,100.0,50.0,0.001,0.00047
0.0265,200.76982125427898,8.061699433834708,0.5019171237945557,-0.7698212542789804,100.0,50.0,0.001,0.00047
0.027,200.76981863247886,8.061700404449535,0.5019171833992004,-0.7698186324788594,100.0,50.0,0.001,0.00047
0.0275,200.7698165807666,8.061702028001154,0.5019171833992004,-0.7698165807665873,100.0,50.0,0.001,0.00047
0.028,200.7698154329877,8.061704162514086,0.5019171833992004,-0.7698154329877127,100.0,50.0,0.001,0.00047
0.0285,200.76981544065544,8.06170658287149,0.5019171833992004,-0.7698154406554352,100.0,50.0,0.001,0.00047
0.029,200.7698167306477,8.061709001319311,0.5019171833992004,-0.7698167306477046,100.0,50.0,0.001,0.00047
0.029500000000000002,200.76981978585567,8.061705115098835,0.5019171237945557,-0.7698197858556739,100.0,50.0,0.001,0.00047
0.03,200.7698207168466,8.061700468004975,0.5019171237945557,-0.7698207168465956,100.0,50.0,0.001,0.00047
0.0305,200.7698186544625,8.06170157246272,0.5019171833992004,-0.7698186544625116,100.0,50.0,0.001,0.00047
0.031,200.76981722118387,8.0617031905395,0.5019171833992004,-0.769817221183871,100.0,50.0,0.001,0.00047
0.0315,200.7698166757795,8.061705165562014,0.5019171833992004,-0.7698166757795093,100.0,50.0,0.001,0.00047
0.032,200.7698171884952,8.061707276412793,0.5019171833992004,-0.7698171884952103,100.0,50.0,0.001,0.00047
0.0325,200.76981931997622,8.061703276169322,0.5019171237945557,-0.7698193199762215,100.0,50.0,0.001,0.00047
0.033,200.76981928647595,8.061698745098749,0.5019171237945557,-0.7698192864759505,100.0,50.0,0.001,0.00047
0.0335,200.76981634159978,8.061700205778013,0.5019171833992004,-0.7698163415997783,100.0,50.0,0.001,0.00047
0.034,200.76981423335846,8.061702399853385,0.5019171833992004,-0.7698142333584599,100.0,50.0,0.001,0.00047
0.0345,200.76981333255978,8.061705118968145,0.5019171833992004,-0.769813332559778,100.0,50.0,0.001,0.00047
0.035,200.76981389171885,8.061708062419076,0.5019171833992004,-0.7698138917188544,100.0,50.0,0.001,0.00047
0.035500000000000004,200.769815998643,8.061710866616242,0.5019171833992004,-0.7698159986429971,100.0,50.0,0.001,0.00047
0.036000000000000004,200.7698200578005,8.061707162695274,0.5019171237945557,-0.7698200578005014,100.0,50.0,0.001,0.00047
0.0365,200.76982206797635,8.061702447875884,0.5019171237945557,-0.7698220679763494,100.0,50.0,0.001,0.00047
0.037,200.76982153711566,8.06169723243941,0.5019171237945557,-0.7698215371156607,100.0,50.0,0.001,0.00047
0.0375,200.76981774283266,8.06169813261619,0.5019171833992004,-0.7698177428326574,100.0,50.0,0.001,0.00047
0.038,200.76981450626056,8.061699977726551,0.5019171833992004,-0.769814506260559,100.0,50.0,0.001,0.00047
0.0385,200.76981231623017,8.061702628877388,0.5019171833992004,-0.7698123162301727,100.0,50.0,0.001,0.00047
0.039,200.7698115775756,8.06170582543648,0.5019171833992004,-0.7698115775756094,100.0,50.0,0.001,0.00047
0.0395,200.76981254841493,8.061709205951143,0.5019171833992004,-0.769812548414933,100.0,50.0,0.001,0.00047
0.04,200.76981580103595,8.061706361279935,0.5019171237945557,-0.7698158010359464,100.0,50.0,0.001,0.00047
0.0405,200.76981696594464,8.061708689978087,0.5019171833992004,-0.7698169659446421,100.0,50.0,0.001,0.00047
0.041,200.76981985117425,8.061704745158924,0.5019171237945557,-0.7698198511742476,100.0,50.0,0.001,0.00047
0.0415,200.76982058475335,8.061700081798033,0.5019171237945557,-0.7698205847533472,100.0,50.0,0.001,0.00047
0.042,200.76981832053823,8.061701219152464,0.5019171833992004,-0.769818320538235,100.0,50.0,0.001,0.00047
0.0425,200.76981670715398,8.061702920390221,0.5019171833992004,-0.7698167071539785,100.0,50.0,0.001,0.00047
0.043000000000000003,200.76981602954098,8.06170502342746,0.5019171833992004,-0.7698160295409764,100.0,50.0,0.001,0.00047
0.043500000000000004,200.76981648069284,8.061707295218401,0.5019171833992004,-0.7698164806928389,100.0,50.0,0.001,0.00047
0.044,200.7698181260117,8.06170945465384,0.5019171833992004,-0.7698181260116996,100.0,50.0,0.001,0.00047
0.0445,200.76982139174189,8.061705220929912,0.5019171237945557,-0.7698213917418855,100.0,50.0,0.001,0.00047
0.045,200.76982234464228,8.06170017390384,0.5019171237945557,-0.7698223446422787,100.0,50.0,0.001,0.00047
0.0455,200.76982009178732,8.06170087297306,0.5019171833992004,-0.7698200917873237,100.0,50.0,0.001,0.00047
0.046,200.76981825728498,8.061702133096443,0.5019171833992004,-0.7698182572849817,100.0,50.0,0.001,0.00047
0.0465,200.76981712952292,8.061703850086875,0.5019171833992004,-0.7698171295229201,100.0,50.0,0.001,0.00047
0.047,200.76981693554666,8.06170584793676,0.5019171833992004,-0.7698169355466575,100.0,50.0,0.001,0.00047
0.0475,200.76981780430893,8.06170789409477,0.5019171833992004,-0.7698178043089285,100.0,50.0,0.001,0.00047
0.048,200.769820249982,8.06170374048816,0.5019171237945557,-0.76982024998199,100.0,50.0,0.001,0.00047
0.0485,200.7698204427255,8.061698977807612,0.5019171237945557,-0.7698204427254893,100.0,50.0,0.001,0.00047
0.049,200.76981759655496,8.061700150532861,0.5019171833992004,-0.7698175965549581,100.0,50.0,0.001,0.00047
0.0495,200.7698154323394,8.061702032072429,0.5019171833992004,-0.7698154323394135,100.0,50.0,0.001,0.00047
0.05,200.76981431115243,8.061704452591282,0.5019171833992004,-0.7698143111524303,100.0,50.0,0.001,0.00047
0.0505,200.76981449639374,8.061707152332122,0.5019171833992004,-0.7698144963937352,100.0,50.0,0.001,0.00047
0.051000000000000004,200.76981610821983,8.061709805940207,0.5019171833992004,-0.7698161082198283,100.0,50.0,0.001,0.00047
0.051500000000000004,200.76981960301976,8.061706074730065,0.5019171237945557,-0.769819603019755,100.0,50.0,0.001,0.00047
0.052000000000000005,200.76982104638577,8.061701473169922,0.5019171237945557,-0.769821046385772,100.0,50.0,0.001,0.00047
0.0525,200.76981950960234,8.061702495558766,0.5019171833992004,-0.7698195096023426,100.0,50.0,0.001,0.00047
0.053,200.76981854725506,8.06170390067032,0.5019171833992004,-0.7698185472550563,100.0,50.0,0.001,0.00047
0.0535,200.76981834991722,8.061705545446198,0.5019171833992004,-0.769818349917216,100.0,50.0,0.001,0.00047
0.054,200.7698195394905,8.061701255960518,0.5019171237945557,-0.7698195394904985,100.0,50.0,0.001,0.00047
0.0545,200.76981791967475,8.061702653628682,0.5019171833992004,-0.7698179196747503,100.0,50.0,0.001,0.00047
0.055,200.76981707491308,8.061704454698042,0.5019171833992004,-0.7698170749130782,100.0,50.0,0.001,0.00047
0.0555,200.7698172024673,8.061706466148035,0.5019171833992004,-0.7698172024672942,100.0,50.0,0.001,0.00047
0.056,200.76981839312532,8.061708445831751,0.5019171833992004,-0.7698183931253197,100.0,50.0,0.001,0.00047
0.0565,200.76982111862222,8.061704145585463,0.5019171237945557,-0.7698211186222181,100.0,50.0,0.001,0.00047
0.057,200.7698215075351,8.061699166577508,0.5019171237945557,-0.7698215075351129,100.0,50.0,0.001,0.00047
0.0575,200.76981873873356,8.061700074121074,0.5019171833992004,-0.7698187387335622,100.0,50.0,0.001,0.00047
0.058,200.76981650972763,8.061701671210873,0.5019171833992004,-0.769816509727633,100.0,50.0,0.001,0.00047
0.0585,200.76981517440586,8.061703823415446,0.5019171833992004,-0.7698151744058634,100.0,50.0,0.001,0.00047
0.059000000000000004,200.76981500789532,8.061706308170432,0.5019171833992004,-0.7698150078953176,100.0,50.0,0.001,0.00047
0.059500000000000004,200.76981616153793,8.061708834393446,0.5019171833992004,-0.769816161537932,100.0,50.0,0.001,0.00047
0.06,200.7698191404047,8.061705089904887,0.5019171237945557,-0.7698191404047066,100.0,50.0,0.001,0.00047
0.0605,200.76982007177895,8.061700603555064,0.5019171237945557,-0.7698200717789518,100.0,50.0,0.001,0.00047
0.061,200.76981809494438,8.061701868661363,0.5019171833992004,-0.7698180949443838,100.0,50.0,0.001,0.00047
0.0615,200.76981683051875,8.061703626081329,0.5019171833992004,-0.7698168305187494,100.0,50.0,0.001,0.00047
0.062,200.76981652420926,8.061705698395631,0.5019171833992004,-0.7698165242092614,100.0,50.0,0.001,0.00047
0.0625,200.76981732248524,8.06170784699368,0.5019171833992004,-0.7698173224852383,100.0,50.0,0.001,0.00047
0.063,200.76981975345217,8.06170381338114,0.5019171237945557,-0.7698197534521682,100.0,50.0,0.001,0.00047
0.0635,200.76981999538432,8.061699174357098,0.5019171237945557,-0.7698199953843243,100.0,50.0,0.001,0.00047
0.064,200.7698172628784,8.061700458488826,0.5019171833992004,-0.769817262878405,100.0,50.0,0.001,0.00047
0.0645,200.76981526894065,8.061702423127674,0.5019171833992004,-0.769815268940647,100.0,50.0,0.001,0.00047
0.065,200.76981435844075,8.061704884339587,0.5019171833992004,-0.7698143584407546,100.0,50.0,0.001,0.00047
0.0655,200.7698147714487,8.061707572303678,0.5019171833992004,-0.7698147714486936,100.0,50.0,0.001,0.00047
0.066,200.7698165999551,8.061710157411692,0.5019171833992004,-0.7698165999551065,100.0,50.0,0.001,0.00047
0.0665,200.76982027052867,8.06170630373909,0.5019171237945557,-0.769820270528669,100.0,50.0,0.001,0.00047
0.067,200.76982182103862,8.06170153594157,0.5019171237945557,-0.7698218210386187,100.0,50.0,0.001,0.00047
0.0675,200.76982030103437,8.061702365409776,0.5019171833992004,-0.7698203010343718,100.0,50.0,0.001,0.00047
0.068,200.76981925288538,8.061703573421983,0.5019171833992004,-0.7698192528853838,100.0,50.0,0.001,0.00047
0.0685,200.7698188671333,8.061705042466688,0.5019171833992004,-0.7698188671332957,100.0,50.0,0.001,0.00047
0.069,200.7698197791855,8.061700624172769,0.5019171237945557,-0.7698197791854966,100.0,50.0,0.001,0.00047
0.0695,200.76981781950113,8.061701962146952,0.5019171833992004,-0.769817819501128,100.0,50.0,0.001,0.00047
0.07,200.76981661047168,8.061703788163694,0.5019171833992004,-0.769816610471679,100.0,50.0,0.001,0.00047
0.07050000000000001,200.7698163947275,8.061705915278832,0.5019171833992004,-0.7698163947275134,100.0,50.0,0.001,0.00047
0.07100000000000001,200.76981731067949,8.061708096123201,0.5019171833992004,-0.7698173106794854,100.0,50.0,0.001,0.00047
0.07150000000000001,200.7698198739052,8.06170406545078,0.5019171237945557,-0.7698198739051918,100.0,50.0,0.001,0.00047
0.07200000000000001,200.76982024684003,8.061699396428939,0.5019171237945557,-0.7698202468400268,100.0,50.0,0.001,0.00047
0.0725,200.76981762665437,8.061700617937777,0.5019171833992004,-0.7698176266543726,100.0,50.0,0.001,0.00047
0.073,200.76981570946475,8.061702491981347,0.5019171833992004,-0.7698157094647513,100.0,50.0,0.001,0.00047
0.0735,200.76981482607587,8.061704843484517,0.5019171833992004,-0.7698148260758728,100.0,50.0,0.001,0.00047
0.074,200.76981520748603,8.061707414988096,0.5019171833992004,-0.7698152074860332,100.0,50.0,0.001,0.00047
0.0745,200.7698174545438,8.061703908097993,0.5019171237945557,-0.7698174545438121,100.0,50.0,0.001,0.00047
0.075,200.76981728439088,8.061705825004214,0.5019171833992004,-0.7698172843908822,100.0,50.0,0.001,0.00047
0.0755,200.76981813357955,8.061707784285563,0.5019171833992004,-0.7698181335795482,100.0,50.0,0.001,0.00047
0.076,200.76982051406165,8.061703548676928,0.5019171237945557,-0.7698205140616494,100.0,50.0,0.001,0.00047
0.0765,200.76982059955037,8.061698720229604,0.5019171237945557,-0.7698205995503713,100.0,50.0,0.001,0.00047
0.077,200.7698176135589,8.061699853898968,0.5019171833992004,-0.7698176135588994,100.0,50.0,0.001,0.00047
0.0775,200.7698152918026,8.06170173120385,0.5019171833992004,-0.7698152918025869,100.0,50.0,0.001,0.00047
