time_s,output_voltage_V,inductor_current_A,duty_cycle,tracking_error_V,Vin_V,R_ohm,L_H,C_F
0.0005,187.54480983726208,15.86848441217062,0.5568987703422407,12.455190162737921,100.0,50.0,0.001,0.00047
0.001,191.3330649879596,22.66017873341298,0.5392215256049933,8.666935012040398,100.0,50.0,0.001,0.00047
0.0015,198.8732533729863,26.581703961485385,0.5183427937578142,1.1267466270136879,100.0,50.0,0.001,0.00047
0.002,209.18154578039656,25.45532675488921,0.4858395853693933,-9.181545780396561,100.0,50.0,0.001,0.00047
0.0025,219.57003060744043,18.142510353660118,0.45202798662366367,-19.57003060744043,100.0,50.0,0.001,0.00047
0.003,225.92237231428902,5.4357307050107515,0.42882205303546145,-25.92237231428902,100.0,50.0,0.001,0.00047
0.0035,224.46990850181675,0.0,0.41992500481025913,-24.469908501816747,100.0,50.0,0.001,0.00047
0.004,219.69395300177808,0.0,0.4322150732370129,-19.693953001778084,100.0,50.0,0.001,0.00047
0.0045000000000000005,215.01961357620834,0.0,0.45060527131559175,-15.019613576208343,100.0,50.0,0.001,0.00047
0.005,210.44472818096986,0.0,0.4640958113307993,-10.44472818096986,100.0,50.0,0.001,0.00047
0.0055,205.9671807728641,0.0,0.47793849170881403,-5.967180772864111,100.0,50.0,0.001,0.00047
0.006,201.58490033088827,0.0,0.49183018398995176,-1.5849003308882743,100.0,50.0,0.001,0.00047
0.006500000000000001,197.2958598983162,0.15358892999031326,0.5054549126627034,2.704140101683805,100.0,50.0,0.001,0.00047
0.007,193.17674407545059,2.657658507826042,0.5185308962221197,6.823255924549414,100.0,50.0,0.001,0.00047
0.0075,190.39414815388588,7.304909588277212,0.5304533251493767,9.60585184611412,100.0,50.0,0.001,0.00047
0.008,189.95092536351822,13.110329139022191,0.5357569454967198,10.049074636481777,100.0,50.0,0.001,0.00047
0.0085,192.43428144737643,18.67819064948231,0.5321724450195969,7.565718552623565,100.0,50.0,0.001,0.00047
0.009000000000000001,197.91816002066588,22.298213464720526,0.5179655429799812,2.08183997933412,100.0,50.0,0.001,0.00047
0.0095,205.7218699349006,22.17630307125752,0.4935087271604641,-5.72186993490061,100.0,50.0,0.001,0.00047
0.01,213.95828084035506,17.181225456346283,0.46534534580777354,-13.958280840355059,100.0,50.0,0.001,0.00047
0.0105,219.57719561962068,7.649864623579681,0.44352365705176033,-19.57719561962068,100.0,50.0,0.001,0.00047
0.011,219.51132458526632,0.0,0.43402591377188227,-19.511324585266323,100.0,50.0,0.001,0.00047
0.0115,214.8408708706862,0.0,0.442471062248824,-14.840870870686189,100.0,50.0,0.001,0.00047
0.012,210.2697885117354,0.0,0.4646263727465348,-10.269788511735413,100.0,50.0,0.001,0.00047
0.0125,205.7959632242517,0.0,0.47847682011957526,-5.795963224251693,100.0,50.0,0.001,0.00047
0.013000000000000001,201.41732570884207,0.0,0.4923639828067654,-1.4173257088420712,100.0,50.0,0.001,0.00047
0.0135,197.13185069376033,0.24713814141230017,0.5059723717064168,2.8681493062396726,100.0,50.0,0.001,0.00047
0.014,193.06401123650548,2.8391303703179958,0.5190223436319124,6.935988763494521,100.0,50.0,0.001,0.00047
0.0145,190.37379243139577,7.534257479870661,0.5306751102881792,9.62620756860423,100.0,50.0,0.001,0.00047
0.015,190.04530401683857,13.332146751662165,0.5356281958385902,9.954695983161429,100.0,50.0,0.001,0.00047
0.0155,192.64451953260937,18.827876193919828,0.531645669563094,7.355480467390635,100.0,50.0,0.001,0.00047
0.016,198.21934888422376,22.307469359938693,0.5170336851850434,1.7806511157762372,100.0,50.0,0.001,0.00047
0.0165,206.04900347622615,21.994996386759162,0.4923555822739977,-6.049003476226147,100.0,50.0,0.001,0.00047
0.017,214.19759070276118,16.814454978876952,0.464393998738762,-14.197590702761175,100.0,50.0,0.001,0.00047
0.0175,219.60219739915374,7.169147746004128,0.4430814367502225,-19.602197399153738,100.0,50.0,0.001,0.00047
0.018000000000000002,219.2447281850498,0.0,0.4342391828950546,-19.24472818504981,100.0,50.0,0.001,0.00047
0.0185,214.57994673430406,0.0,0.443655738608952,-14.579946734304059,100.0,50.0,0.001,0.00047
0.019,210.0144159527231,0.0,0.46540259221933145,-10.014415952723112,100.0,50.0,0.001,0.00047
0.0195,205.54602412394178,0.0,0.479263559186027,-5.546024123941777,100.0,50.0,0.001,0.00047
0.02,201.17270446173026,0.0,0.49314324387589525,-1.1727044617302624,100.0,50.0,0.001,0.00047
0.0205,196.89243415403388,0.3834679763579345,0.5067269970208033,3.1075658459661213,100.0,50.0,0.001,0.00047
0.021,192.8991535829711,3.1035296309986866,0.5197383937224224,7.10084641702889,100.0,50.0,0.001,0.00047
0.021500000000000002,190.3433789285488,7.8686936680314545,0.5310001612473586,9.656621071451212,100.0,50.0,0.001,0.00047
0.022,190.1823083691004,13.655964355277938,0.5354424245105986,9.817691630899589,100.0,50.0,0.001,0.00047
0.0225,192.95113863796524,19.046379974107786,0.5308755607846221,7.048861362034756,100.0,50.0,0.001,0.00047
0.023,198.65934955447858,22.320327868019227,0.5156695893486197,1.340650445521419,100.0,50.0,0.001,0.00047
0.0235,206.52646981827155,21.729334503900652,0.4906759387104008,-6.526469818271551,100.0,50.0,0.001,0.00047
0.024,214.54536531469682,16.278695132625693,0.46301663491302064,-14.545365314696824,100.0,50.0,0.001,0.00047
0.0245,219.63620941089272,6.468057802935334,0.4424429794420434,-19.636209410892718,100.0,50.0,0.001,0.00047
0.025,218.85382750175722,0.0,0.4345620733366442,-18.853827501757223,100.0,50.0,0.001,0.00047
0.025500000000000002,214.19736308682621,0.0,0.44542192500166644,-14.197363086826215,100.0,50.0,0.001,0.00047
0.026000000000000002,209.6399723828512,0.0,0.46654433702934334,-9.639972382851198,100.0,50.0,0.001,0.00047
0.0265,205.17954743853522,0.0,0.48041895351366876,-5.179547438535224,100.0,50.0,0.001,0.00047
0.027,200.81402515260893,0.0,0.4942858137965377,-0.8140251526089344,100.0,50.0,0.001,0.00047
0.0275,196.5413863195747,0.5828590581448836,0.5078317771450427,3.4586136804252874,100.0,50.0,0.001,0.00047
0.028,192.65679789315294,3.490102217566743,0.5207853396942494,7.343202106847059,100.0,50.0,0.001,0.00047
0.0285,190.29727482866343,8.358276961387624,0.5314795454951022,9.702725171336567,100.0,50.0,0.001,0.00047
0.029,190.38152189656978,14.130792771251002,0.535174802372158,9.61847810343022,100.0,50.0,0.001,0.00047
0.029500000000000002,193.4000912902459,19.366796048495303,0.5297443126116512,6.599908709754089,100.0,50.0,0.001,0.00047
0.03,199.3051971085803,22.337927005213203,0.5136623904411364,0.6948028914196982,100.0,50.0,0.001,0.00047
