episode,average_reward,voltage_rmse,average_duty_variation,critic_loss,actor_loss
1,-5.120194766032642,42.18020180438652,0.2836055236616117,12.704219551086426,3.6779212856292727
2,-5.6391573386896505,44.33963677211717,0.2999965870751123,5.329407229423523,4.1739090538024906
3,-11.804361297805828,68.66450783124242,0.03637443180034386,3.9701154613494873,5.885192489624023
4,-0.14620614783239255,6.909823815623211,0.05420736023912511,3.5689793372154237,5.579997100830078
5,-0.08505093589154664,4.493371770129008,0.06423622348993203,2.77027002453804,5.079146385192871
6,-0.102499454766668,5.280516618794298,0.062372438944527216,1.7580751156806946,4.556127700805664
7,-0.0618579338056346,3.4151889395881554,0.06352657889104693,1.7465303391218185,4.3776279735565184
8,-0.0632038414850619,3.7579871872810275,0.05819803080650841,1.2683965361118317,4.054193649291992
9,-0.056616416069198275,3.323385534218758,0.05977167766101256,1.3058574467897415,3.868532075881958
10,-0.09821103083639984,5.15139933113362,0.06162941341212123,1.100897757411003,3.803942852020264
11,-0.09153540912110948,4.797919161848201,0.06425457851176587,0.8837060016393662,3.6498852443695067
12,-0.06384612033352857,3.6359419324144473,0.059931085872848074,0.8564912492036819,3.426788845062256
13,-0.062212585349780684,3.670166775135352,0.05957096816237258,1.0013606110215187,3.3471482849121093
14,-0.07416340997650991,4.207016687855873,0.059773926179594816,0.5179143534600734,3.3813172435760497
15,-0.055893972098056285,3.353999782527031,0.05870216540906601,0.5992625020444393,3.2308106136322023
16,-0.05137485296631988,3.176140863594571,0.05624841248130912,0.751296473145485,3.164641094207764
17,-0.07375226328891242,4.129946404091862,0.060886508498543476,0.842759653031826,3.256638946533203
18,-0.05818176782122984,3.5392199010805343,0.057314947784859044,0.42702924996614455,3.223114309310913
19,-0.07700439489612437,4.3370725671475086,0.06179034379587648,0.48116503432393076,3.1796086597442628
20,-0.0495745747977036,3.1639260977911254,0.0547694567911404,0.5697724151611329,3.0473742294311523
